generation,numMutations,payObs,POSObs,webObs,vendObs,empObs,webVal,payVal,posVal,genBestFitness,genBestExploit,genGuruExploitAvg,cumulativeTime
0,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.6346761566970165,-0.0569626968606,-0.5871150538291,2850,0
1,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.718635323456778,-0.0585779341002,-0.06968508449398,9083,0
2,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.5656294255417367,-3.7417945806,-1.15887161300282,16104,0
3,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7154641361198897,-0.0633613017356,-0.06384953675318,23162,0
4,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7350941116457999,-0.0685647530163,-0.052759025656759995,30150,0
5,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7501941446293892,-0.0087666453683,-0.020992193578954,37371,0
6,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7335428562243798,-0.0364851763305,-0.03726797750934001,44947,0
7,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7269573456029506,-0.0366882648796,-0.03241405629334,52799,0
8,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7073242318732036,-0.0398020909562,-0.0409112332208,60541,0
9,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.6442932985952579,-0.641929842479,-0.40227189394403995,67990,0
10,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.6705039229464487,-0.646133298685,-0.2908479835131,75062,0
11,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.6166504866573326,-0.536638433905,-0.36154632660837993,82202,0
12,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.6703114873203122,-0.536143133212,-0.27510014543574,89664,0
13,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.6883932074247991,-0.05976835348,-0.07218660563782,97136,0
14,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7132071001197011,-0.0947725572753,-0.06842713592444001,104692,0
15,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.6950632563364534,-0.539407756013,-0.15907852295184,112308,0
16,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7146587436369565,-0.052442119898,-0.046346265079800004,120024,0
17,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7203582821662058,-0.0546390189519,-0.05504250543782,127834,0
18,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7325946958635658,-0.0417917246852,-0.04314787215272,135449,0
19,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7200437787054006,-0.0468170432454,-0.03348280416416,142950,0
20,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.706035218029987,-0.0465213376311,-0.041624035266980004,150690,0
21,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7005199356040324,-0.0546390189519,-0.030466460538812003,158565,0
22,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7108489639899176,-0.00523791623387,-0.033587311881594,166032,0
23,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.697448498375136,-0.0538995160189,-0.05327538580156001,173202,0
24,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7131897500980797,-0.0498538417869,-0.052969573713219996,180767,0
25,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7083665482076948,-0.0478855741473,-0.04495335524269999,188346,0
26,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7157155159019328,-0.0484907154792,-0.04849826832267999,195623,0
27,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7047796601172795,-0.0478855741473,-0.05828678156961999,203235,0
28,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.6839973327171243,-0.0468852590625,-0.055778651327779996,211156,0
29,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.6988184240793034,-0.0481480621401,-0.05117064450768001,219205,0
30,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7076901912644769,-0.0433614477121,-0.04180923101936,227448,0
31,5,0.053243545399706375,0.1,0.05,0.1,0.2,0.9363794411134708,1.0986311715138872,1.0,-1.7208055034400604,-0.0554431734555,-0.044947405061,235734,0
